S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
171,Kamareddy,2018 - 2019,Kharif,Maize,145.38,,,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,16.84,6.17
172,Kamareddy,2019 - 2020,Kharif,Maize,235.12,,,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,19.31,6.13
173,Karimnagar,2014 - 2015,Kharif,Maize,92.36,30.5,40.6,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,,4.58
174,Karimnagar,2015 - 2016,Kharif,Maize,134.44,26.9,38.7,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,,4.1
175,Karimnagar,2016 - 2017,Kharif,Maize,192.88,26.8,37.9,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,15.65,4.54
176,Karimnagar,2017 - 2018,Kharif,Maize,146.26,26.9,36.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,11.86,4.68
177,Karimnagar,2018 - 2019,Kharif,Maize,152.1,,,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,12.7,5.67
178,Karimnagar,2019 - 2020,Kharif,Maize,235.4,,,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.56,6.23
179,Khammam,2014 - 2015,Kharif,Maize,165.22,29.7,40.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,,3.36
180,Khammam,2015 - 2016,Kharif,Maize,212.66,27.2,37.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,,3.65
181,Khammam,2016 - 2017,Kharif,Maize,196.24,27.3,36.8,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,10.43,4.17
182,Khammam,2017 - 2018,Kharif,Maize,197.585,29,37.2,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,9.15,4.82
183,Khammam,2018 - 2019,Kharif,Maize,204.596,,,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.32,5.36
184,Khammam,2019 - 2020,Kharif,Maize,187.9066667,22.1,45,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,7.55,5.47
185,Komaram bheem asifabad,2016 - 2017,Kharif,Maize,240.24,27.7,39.3,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.97,3.46
186,Komaram bheem asifabad,2017 - 2018,Kharif,Maize,142.94,27.5,37.2,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,3.45
187,Komaram bheem asifabad,2018 - 2019,Kharif,Maize,226.16,,,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.94,4.64
188,Komaram bheem asifabad,2019 - 2020,Kharif,Maize,265.66,16.8,45,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,3.28
189,Mahabubabad,2016 - 2017,Kharif,Maize,211.04,26.7,37.7,7.6,260,20,330,1.56,17.3,3.92,17.5,10.41,4.25
190,Mahabubabad,2017 - 2018,Kharif,Maize,174.64,28.5,38.4,7.6,260,20,330,1.56,17.3,3.92,17.5,9.69,5.33
191,Mahabubabad,2018 - 2019,Kharif,Maize,150.46,,,7.6,260,20,330,1.56,17.3,3.92,17.5,10.05,3.43
192,Mahabubabad,2019 - 2020,Kharif,Maize,191.72,21.4,44.8,7.6,260,20,330,1.56,17.3,3.92,17.5,10.38,5.68
193,Mahbubnagar,2014 - 2015,Kharif,Maize,81.06,26.1,38.8,7.5,97,35.02,268,0.75,9.8,0.71,8.8,,1.8
194,Mahbubnagar,2015 - 2016,Kharif,Maize,76.1,26.8,37.7,7.5,97,35.02,268,0.75,9.8,0.71,8.8,,1.27
195,Mahbubnagar,2016 - 2017,Kharif,Maize,119.08,26.3,35,7.5,97,35.02,268,0.75,9.8,0.71,8.8,18.41,1.09
196,Mahbubnagar,2017 - 2018,Kharif,Maize,148.22,27.8,36,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.79,1.45
197,Mahbubnagar,2018 - 2019,Kharif,Maize,87.62,,,7.5,97,35.02,268,0.75,9.8,0.71,8.8,16,1.2
198,Mahbubnagar,2019 - 2020,Kharif,Maize,147.06,19.7,42.6,7.5,97,35.02,268,0.75,9.8,0.71,8.8,19.43,3.11
199,Mancherial,2016 - 2017,Kharif,Maize,175.1,29,38.8,7.52,128,49.4,238,1.65,11.58,2.2,16,7.47,3.46
200,Mancherial,2017 - 2018,Kharif,Maize,255.84,28.7,37.7,7.52,128,49.4,238,1.65,11.58,2.2,16,7.34,3.45
201,Mancherial,2018 - 2019,Kharif,Maize,145.5,,,7.52,128,49.4,238,1.65,11.58,2.2,16,8.62,3.93
202,Mancherial,2019 - 2020,Kharif,Maize,198.78,20.5,45.2,7.52,128,49.4,238,1.65,11.58,2.2,16,7.98,4.84
203,Medak,2014 - 2015,Kharif,Maize,91.4,26.1,38.5,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,,1.54
204,Medak,2015 - 2016,Kharif,Maize,98.76,24.9,36.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,,2.12
205,Medak,2016 - 2017,Kharif,Maize,215.82,24.9,35,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,29.09,2.52
206,Medak,2017 - 2018,Kharif,Maize,132.84,25.9,35.6,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,17.63,3.71
207,Medak,2018 - 2019,Kharif,Maize,100.4,,,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,21.18,2.67
208,Medak,2019 - 2020,Kharif,Maize,186.36,19.7,44.2,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,26.47,4.3
209,Medchal,2016 - 2017,Kharif,Maize,198.12,24.7,35.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,16.33,3.14
210,Medchal,2017 - 2018,Kharif,Maize,210.28,27.7,36.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,10.79,3.45
211,Medchal,2018 - 2019,Kharif,Maize,91.14,,,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,12.63,2.48
212,Medchal,2019 - 2020,Kharif,Maize,160.24,19.8,44,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,18.24,4.07
213,Mulugu,2018 - 2019,Kharif,Maize,240.884,,,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,6.8
214,Mulugu,2019 - 2020,Kharif,Maize,222.5,21.8,44.2,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,6.59
215,Nagarkurnool,2016 - 2017,Kharif,Maize,110.26,27.3,35.8,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,20.52,1.09
216,Nagarkurnool,2017 - 2018,Kharif,Maize,106.62,26.5,36,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,17.47,2.01
217,Nagarkurnool,2018 - 2019,Kharif,Maize,72.82,,,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,13.32,0.64
218,Nagarkurnool,2019 - 2020,Kharif,Maize,111.58,20.1,44.7,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,14.14,2.56
219,Nalgonda,2014 - 2015,Kharif,Maize,93.52,28.9,41,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,,0.75
220,Nalgonda,2015 - 2016,Kharif,Maize,136.65,28.2,38,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,,0.7
221,Nalgonda,2016 - 2017,Kharif,Maize,118.0733333,28.6,38.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,16.14,1.89
222,Nalgonda,2017 - 2018,Kharif,Maize,122.495,30.5,38.5,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.45,3.45
223,Nalgonda,2018 - 2019,Kharif,Maize,118.588,,,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.4,3.07
224,Nalgonda,2019 - 2020,Kharif,Maize,114.5433333,21,44.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,14.81,4.87
225,Narayanapet,2018 - 2019,Kharif,Maize,92.66,,,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,1.2
226,Narayanapet,2019 - 2020,Kharif,Maize,98.99333333,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,4.84
227,Nirmal,2016 - 2017,Kharif,Maize,268.66,26.9,38.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,15.32,3.46
228,Nirmal,2017 - 2018,Kharif,Maize,160.56,27.5,36.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,11.25,5.72
229,Nirmal,2018 - 2019,Kharif,Maize,172.76,,,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.48,6.11
230,Nirmal,2019 - 2020,Kharif,Maize,198.7,18,45.5,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.04,8.19
231,Nizamabad,2014 - 2015,Kharif,Maize,103.5,28.1,40.6,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,,4.9
232,Nizamabad,2015 - 2016,Kharif,Maize,90.82,27,38.5,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,,4.44
233,Nizamabad,2016 - 2017,Kharif,Maize,273.02,26.1,36.8,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,21.23,5.27
234,Nizamabad,2017 - 2018,Kharif,Maize,144.94,26.1,38.1,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,10.85,5.03
235,Nizamabad,2018 - 2019,Kharif,Maize,168.88,,,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,15.63,5.7
236,Nizamabad,2019 - 2020,Kharif,Maize,255.82,17.6,46,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,17.2,6.41
237,Peddapalli,2016 - 2017,Kharif,Maize,210.42,27.4,38.6,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.61,4.54
238,Peddapalli,2017 - 2018,Kharif,Maize,136.86,27,36.9,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,8.68,6.92
239,Peddapalli,2018 - 2019,Kharif,Maize,226.54,,,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.52,6.61
240,Peddapalli,2019 - 2020,Kharif,Maize,244.94,20.9,45,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.59,8.28
241,Rajanna,2016 - 2017,Kharif,Maize,218.46,25.8,36.7,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.95,4.54
242,Rajanna,2017 - 2018,Kharif,Maize,125.2,27.1,36.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,14.3,2.85
243,Rajanna,2018 - 2019,Kharif,Maize,129.3,,,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,15.06,5.15
244,Rajanna,2019 - 2020,Kharif,Maize,236.04,18.9,44.8,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.98,7.03
245,Rangareddy,2014 - 2015,Kharif,Maize,71.84,26.6,38.2,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,,2.88
246,Rangareddy,2015 - 2016,Kharif,Maize,96.46,26.3,36.5,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,,3.79
247,Rangareddy,2016 - 2017,Kharif,Maize,133.64,25.1,34.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.44,3.14
248,Rangareddy,2017 - 2018,Kharif,Maize,161.36,27,35.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.37,2.16
249,Rangareddy,2018 - 2019,Kharif,Maize,83.84,,,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,17.24,0.71
250,Rangareddy,2019 - 2020,Kharif,Maize,134.92,19,44.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.93,3.32
251,Sangareddy,2016 - 2017,Kharif,Maize,213.84,24.8,35.5,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,23.9,2.52
252,Sangareddy,2017 - 2018,Kharif,Maize,163.86,26.5,35.6,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,19.45,3.55
253,Sangareddy,2018 - 2019,Kharif,Maize,86.58,,,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,17.53,3.15
254,Sangareddy,2019 - 2020,Kharif,Maize,150.16,18.2,44.7,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,24.12,4.49
255,Siddipet,2016 - 2017,Kharif,Maize,187.62,26.4,37.3,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,28.74,2.52
256,Siddipet,2017 - 2018,Kharif,Maize,146.18,27.5,35.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.03,2.88
257,Siddipet,2018 - 2019,Kharif,Maize,93.34,,,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.68,2.59
258,Siddipet,2019 - 2020,Kharif,Maize,196.26,19.4,44.7,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,20.55,4.31
259,Suryapet,2016 - 2017,Kharif,Maize,109.5,27.2,36.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,14.86,1.88
260,Suryapet,2017 - 2018,Kharif,Maize,117.74,28.1,37.3,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.72,3.47
261,Suryapet,2018 - 2019,Kharif,Maize,124.22,,,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.53,3.12
262,Suryapet,2019 - 2020,Kharif,Maize,114.67,21.4,45.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.84,4.82
263,Vikarabad,2016 - 2017,Kharif,Maize,197.64,26.1,34.1,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,19.05,3.14
264,Vikarabad,2017 - 2018,Kharif,Maize,138.32,24.9,34,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,14.68,3.17
265,Vikarabad,2018 - 2019,Kharif,Maize,93.6,,,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,16.05,3.25
266,Vikarabad,2019 - 2020,Kharif,Maize,140.16,18.8,42.2,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,20.47,5.2
267,Wanaparthy,2016 - 2017,Kharif,Maize,114.72,26.1,35.3,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,12.14,1.09
268,Wanaparthy,2017 - 2018,Kharif,Maize,126.98,25.8,36.1,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,10.06,3.17
269,Wanaparthy,2018 - 2019,Kharif,Maize,72.24,,,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.32,2.95
270,Wanaparthy,2019 - 2020,Kharif,Maize,131.1,19.8,43,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.63,5.25
271,Warangal,2014 - 2015,Kharif,Maize,124.5,28.3,39.5,7.56,209,49,552,1.24,24.42,1.87,9.59,,3.99
272,Warangal,2015 - 2016,Kharif,Maize,187.74,28.1,37.4,7.56,209,49,552,1.24,24.42,1.87,9.59,,3.66
273,Warangal,2016 - 2017,Kharif,Maize,230.26,26.4,38.5,7.56,209,49,552,1.24,24.42,1.87,9.59,11.4,4.25
274,Warangal,2017 - 2018,Kharif,Maize,180.36,28.9,37.3,7.56,209,49,552,1.24,24.42,1.87,9.59,9.46,6.97
275,Warangal,2018 - 2019,Kharif,Maize,137.6,,,7.56,209,49,552,1.24,24.42,1.87,9.59,10.04,6.42
276,Warangal,2019 - 2020,Kharif,Maize,222.48,21.3,45.1,7.56,209,49,552,1.24,24.42,1.87,9.59,11.26,5.8
277,Warangal urban,2016 - 2017,Kharif,Maize,267.02,27.6,38.2,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.4,4.25
278,Warangal urban,2017 - 2018,Kharif,Maize,168.04,28.2,36.5,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,9.46,5.53
279,Warangal urban,2018 - 2019,Kharif,Maize,138.62,,,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,10.04,4.3
280,Warangal urban,2019 - 2020,Kharif,Maize,232.58,21.2,44.4,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.26,5.48
281,Yadadri,2016 - 2017,Kharif,Maize,155.98,26.1,36.5,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,17.07,1.89
282,Yadadri,2017 - 2018,Kharif,Maize,137.66,28.5,37.3,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,12.83,2.95
283,Yadadri,2018 - 2019,Kharif,Maize,76.08,,,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,13.32,2.11
284,Yadadri,2019 - 2020,Kharif,Maize,146.6,20,44.4,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,15.6,2.13
285,Adilabad,2014 - 2015,Kharif,Moong(Green Gram),156.04,29.1,40.5,7.55,180,17.6,284,1.35,14,0.58,12.88,,0.58
286,Adilabad,2015 - 2016,Kharif,Moong(Green Gram),165.74,26.1,37.6,7.55,180,17.6,284,1.35,14,0.58,12.88,,0.59
287,Adilabad,2016 - 2017,Kharif,Moong(Green Gram),240.52,27.3,38.3,7.55,180,17.6,284,1.35,14,0.58,12.88,14.7,0.65
288,Adilabad,2017 - 2018,Kharif,Moong(Green Gram),180.18,27.6,37.4,7.55,180,17.6,284,1.35,14,0.58,12.88,13.95,0.7
289,Adilabad,2018 - 2019,Kharif,Moong(Green Gram),256.06,,,7.55,180,17.6,284,1.35,14,0.58,12.88,14.83,0.82
290,Adilabad,2019 - 2020,Kharif,Moong(Green Gram),204.62,16.8,45.9,7.55,180,17.6,284,1.35,14,0.58,12.88,14.18,0.65
291,Bhadradri,2016 - 2017,Kharif,Moong(Green Gram),250.18,27.2,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,13.07,0.44
292,Bhadradri,2017 - 2018,Kharif,Moong(Green Gram),194.08,28.6,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.05,0.64
293,Bhadradri,2018 - 2019,Kharif,Moong(Green Gram),205.84,,,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.31,0.63
294,Bhadradri,2019 - 2020,Kharif,Moong(Green Gram),225.18,21.6,44.9,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,11.33,0.79
295,Jagitial,2016 - 2017,Kharif,Moong(Green Gram),212.14,26.9,38.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,11.15,0.61
296,Jagitial,2017 - 2018,Kharif,Moong(Green Gram),127.66,27.5,37.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,7.43,0.97
297,Jagitial,2018 - 2019,Kharif,Moong(Green Gram),191.68,,,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,9.14,0.55
298,Jagitial,2019 - 2020,Kharif,Moong(Green Gram),221.96,19.4,45.4,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,8.41,0.62
299,Jangoan,2016 - 2017,Kharif,Moong(Green Gram),198.66,26,36.9,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,16.42,0.78
300,Jangoan,2017 - 2018,Kharif,Moong(Green Gram),148,26.8,37.3,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.23,0.56
301,Jangoan,2018 - 2019,Kharif,Moong(Green Gram),111.3,,,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,12.79,0.52
302,Jangoan,2019 - 2020,Kharif,Moong(Green Gram),184.22,18.8,44.4,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.65,0.9
303,Jayashankar,2016 - 2017,Kharif,Moong(Green Gram),237.16,27.8,38.5,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,11.92,0.78
304,Jayashankar,2017 - 2018,Kharif,Moong(Green Gram),170.72,28.9,37.3,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.69,0.64
305,Jayashankar,2018 - 2019,Kharif,Moong(Green Gram),217.76,,,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.42,0.63
306,Jayashankar,2019 - 2020,Kharif,Moong(Green Gram),266.4,21.16666667,45.6,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,16.3,0.79
307,Jogulamba,2016 - 2017,Kharif,Moong(Green Gram),110.1,25.1,34.7,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,11.83,0.65
308,Jogulamba,2017 - 2018,Kharif,Moong(Green Gram),138.54,27.1,35.9,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.75,0.64
309,Jogulamba,2018 - 2019,Kharif,Moong(Green Gram),64.72,,,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.78,0.645
310,Jogulamba,2019 - 2020,Kharif,Moong(Green Gram),103.34,21.2,44.1,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,13.82,0.645
311,Kamareddy,2016 - 2017,Kharif,Moong(Green Gram),242.58,25.4,36.2,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,20.81,0.86
312,Kamareddy,2017 - 2018,Kharif,Moong(Green Gram),175.98,25.8,35.8,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,15.52,0.92
313,Kamareddy,2018 - 2019,Kharif,Moong(Green Gram),145.38,,,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,16.84,1.1
314,Kamareddy,2019 - 2020,Kharif,Moong(Green Gram),235.12,,,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,19.31,1.01
315,Karimnagar,2014 - 2015,Kharif,Moong(Green Gram),92.36,30.5,40.6,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,,0.37
316,Karimnagar,2015 - 2016,Kharif,Moong(Green Gram),134.44,26.9,38.7,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,,0.7
317,Karimnagar,2016 - 2017,Kharif,Moong(Green Gram),192.88,26.8,37.9,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,15.65,0.61
318,Karimnagar,2017 - 2018,Kharif,Moong(Green Gram),146.26,26.9,36.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,11.86,0.64
319,Karimnagar,2018 - 2019,Kharif,Moong(Green Gram),152.1,,,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,12.7,0.63
320,Karimnagar,2019 - 2020,Kharif,Moong(Green Gram),235.4,,,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.56,0.79
321,Khammam,2014 - 2015,Kharif,Moong(Green Gram),165.22,29.7,40.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,,0.5
322,Khammam,2015 - 2016,Kharif,Moong(Green Gram),212.66,27.2,37.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,,0.67
323,Khammam,2016 - 2017,Kharif,Moong(Green Gram),196.24,27.3,36.8,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,10.43,0.44
324,Khammam,2017 - 2018,Kharif,Moong(Green Gram),197.585,29,37.2,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,9.15,0.47
325,Khammam,2018 - 2019,Kharif,Moong(Green Gram),204.596,,,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.32,0.35
326,Khammam,2019 - 2020,Kharif,Moong(Green Gram),187.9066667,22.1,45,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,7.55,0.73
327,Komaram bheem asifabad,2016 - 2017,Kharif,Moong(Green Gram),240.24,27.7,39.3,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.97,0.65
328,Komaram bheem asifabad,2017 - 2018,Kharif,Moong(Green Gram),142.94,27.5,37.2,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,0.77
329,Komaram bheem asifabad,2018 - 2019,Kharif,Moong(Green Gram),226.16,,,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.94,0.71
330,Komaram bheem asifabad,2019 - 2020,Kharif,Moong(Green Gram),265.66,16.8,45,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,0.8
331,Mahabubabad,2016 - 2017,Kharif,Moong(Green Gram),211.04,26.7,37.7,7.6,260,20,330,1.56,17.3,3.92,17.5,10.41,0.78
332,Mahabubabad,2017 - 2018,Kharif,Moong(Green Gram),174.64,28.5,38.4,7.6,260,20,330,1.56,17.3,3.92,17.5,9.69,0.66
333,Mahabubabad,2018 - 2019,Kharif,Moong(Green Gram),150.46,,,7.6,260,20,330,1.56,17.3,3.92,17.5,10.05,0.51
334,Mahabubabad,2019 - 2020,Kharif,Moong(Green Gram),191.72,21.4,44.8,7.6,260,20,330,1.56,17.3,3.92,17.5,10.38,0.91
335,Mahbubnagar,2014 - 2015,Kharif,Moong(Green Gram),81.06,26.1,38.8,7.5,97,35.02,268,0.75,9.8,0.71,8.8,,0.37
336,Mahbubnagar,2015 - 2016,Kharif,Moong(Green Gram),76.1,26.8,37.7,7.5,97,35.02,268,0.75,9.8,0.71,8.8,,0.07
337,Mahbubnagar,2016 - 2017,Kharif,Moong(Green Gram),119.08,26.3,35,7.5,97,35.02,268,0.75,9.8,0.71,8.8,18.41,0.64
338,Mahbubnagar,2017 - 2018,Kharif,Moong(Green Gram),148.22,27.8,36,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.79,0.57
339,Mahbubnagar,2018 - 2019,Kharif,Moong(Green Gram),87.62,,,7.5,97,35.02,268,0.75,9.8,0.71,8.8,16,0.54
340,Mahbubnagar,2019 - 2020,Kharif,Moong(Green Gram),147.06,19.7,42.6,7.5,97,35.02,268,0.75,9.8,0.71,8.8,19.43,0.79
341,Mancherial,2016 - 2017,Kharif,Moong(Green Gram),175.1,29,38.8,7.52,128,49.4,238,1.65,11.58,2.2,16,7.47,0.65
342,Mancherial,2017 - 2018,Kharif,Moong(Green Gram),255.84,28.7,37.7,7.52,128,49.4,238,1.65,11.58,2.2,16,7.34,0.64
343,Mancherial,2018 - 2019,Kharif,Moong(Green Gram),145.5,,,7.52,128,49.4,238,1.65,11.58,2.2,16,8.62,0.63
344,Mancherial,2019 - 2020,Kharif,Moong(Green Gram),198.78,20.5,45.2,7.52,128,49.4,238,1.65,11.58,2.2,16,7.98,0.79
345,Medak,2014 - 2015,Kharif,Moong(Green Gram),91.4,26.1,38.5,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,,0.55
346,Medak,2015 - 2016,Kharif,Moong(Green Gram),98.76,24.9,36.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,,0.4
347,Medak,2016 - 2017,Kharif,Moong(Green Gram),215.82,24.9,35,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,29.09,0.68
348,Medak,2017 - 2018,Kharif,Moong(Green Gram),132.84,25.9,35.6,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,17.63,0.66
349,Medak,2018 - 2019,Kharif,Moong(Green Gram),100.4,,,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,21.18,0.43
350,Medak,2019 - 2020,Kharif,Moong(Green Gram),186.36,19.7,44.2,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,26.47,0.46
351,Medchal,2016 - 2017,Kharif,Moong(Green Gram),198.12,24.7,35.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,16.33,0.7
352,Medchal,2017 - 2018,Kharif,Moong(Green Gram),210.28,27.7,36.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,10.79,1
