S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
40,Khammam,2017 - 2018,Kharif,cotton(lint),197.585,29,37.2,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,9.15,3.98
41,Khammam,2018 - 2019,Kharif,cotton(lint),204.596,,,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.32,2.24
42,Khammam,2019 - 2020,Kharif,cotton(lint),187.9066667,22.1,45,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,7.55,3.5
43,Komaram bheem asifabad,2016 - 2017,Kharif,cotton(lint),240.24,27.7,39.3,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.97,2.72
44,Komaram bheem asifabad,2017 - 2018,Kharif,cotton(lint),142.94,27.5,37.2,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,2.12
45,Komaram bheem asifabad,2018 - 2019,Kharif,cotton(lint),226.16,,,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.94,2.35
46,Komaram bheem asifabad,2019 - 2020,Kharif,cotton(lint),265.66,16.8,45,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,3.27
47,Mahabubabad,2016 - 2017,Kharif,cotton(lint),211.04,26.7,37.7,7.6,260,20,330,1.56,17.3,3.92,17.5,10.41,3.03
48,Mahabubabad,2017 - 2018,Kharif,cotton(lint),174.64,28.5,38.4,7.6,260,20,330,1.56,17.3,3.92,17.5,9.69,2.49
49,Mahabubabad,2018 - 2019,Kharif,cotton(lint),150.46,,,7.6,260,20,330,1.56,17.3,3.92,17.5,10.05,2.52
50,Mahabubabad,2019 - 2020,Kharif,cotton(lint),191.72,21.4,44.8,7.6,260,20,330,1.56,17.3,3.92,17.5,10.38,2.22
51,Mahbubnagar,2014 - 2015,Kharif,cotton(lint),81.06,26.1,38.8,7.5,97,35.02,268,0.75,9.8,0.71,8.8,,1.95
52,Mahbubnagar,2015 - 2016,Kharif,cotton(lint),76.1,26.8,37.7,7.5,97,35.02,268,0.75,9.8,0.71,8.8,,0.96
53,Mahbubnagar,2016 - 2017,Kharif,cotton(lint),119.08,26.3,35,7.5,97,35.02,268,0.75,9.8,0.71,8.8,18.41,1.75
54,Mahbubnagar,2017 - 2018,Kharif,cotton(lint),148.22,27.8,36,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.79,1.64
